Field,StrategyOrDate,LONG_ONLY,ESCAPE_WEEKLY_CHANGE_LIMIT,Value
Cagr,umd-demo,False,0.0,0.3208618300556598
Cagr,umd-demo,False,0.1,0.4038207511609131
Cagr,umd-demo,False,0.2,0.44168976002688365
Cagr,umd-demo,True,0.0,0.15825906738323825
Cagr,umd-demo,True,0.1,0.09723362165278293
Cagr,umd-demo,True,0.2,0.13256365734618347
Sharpe,umd-demo,False,0.0,0.8992083239741538
Sharpe,umd-demo,False,0.1,1.0427288225521767
Sharpe,umd-demo,False,0.2,1.177881168375111
Sharpe,umd-demo,True,0.0,0.8095606595074684
Sharpe,umd-demo,True,0.1,0.44751496363851545
Sharpe,umd-demo,True,0.2,0.600257388600846
MaxDrawdown,umd-demo,False,0.0,-0.8162069909965342
MaxDrawdown,umd-demo,False,0.1,-0.5842318436975
MaxDrawdown,umd-demo,False,0.2,-0.4697171259787404
MaxDrawdown,umd-demo,True,0.0,-0.44431683795884924
MaxDrawdown,umd-demo,True,0.1,-0.49681014547436475
MaxDrawdown,umd-demo,True,0.2,-0.38779578682277926
AbsExposure,umd-demo,False,0.0,1.0
AbsExposure,umd-demo,False,0.1,1.0
AbsExposure,umd-demo,False,0.2,1.0
AbsExposure,umd-demo,True,0.0,0.8562992125984252
AbsExposure,umd-demo,True,0.1,1.0
AbsExposure,umd-demo,True,0.2,1.0
NormalizedCagr,umd-demo,False,0.0,0.3208618300556598
NormalizedCagr,umd-demo,False,0.1,0.4038207511609131
NormalizedCagr,umd-demo,False,0.2,0.44168976002688365
NormalizedCagr,umd-demo,True,0.0,0.18481748558778166
NormalizedCagr,umd-demo,True,0.1,0.09723362165278293
NormalizedCagr,umd-demo,True,0.2,0.13256365734618347
TotalHoldings,umd-demo,False,0.0,4.693897637795276
TotalHoldings,umd-demo,False,0.1,7.485236220472441
TotalHoldings,umd-demo,False,0.2,7.875984251968504
TotalHoldings,umd-demo,True,0.0,2.28248031496063
TotalHoldings,umd-demo,True,0.1,3.812992125984252
TotalHoldings,umd-demo,True,0.2,4.0
AggReturn,2019-01-02 00:00:00,False,0.0,-0.0145259218965144
AggReturn,2019-01-02 00:00:00,False,0.1,0.048149387724489
AggReturn,2019-01-02 00:00:00,False,0.2,0.044480880157234
AggReturn,2019-01-02 00:00:00,True,0.0,-0.0463276074599466
AggReturn,2019-01-02 00:00:00,True,0.1,0.1262583378258656
AggReturn,2019-01-02 00:00:00,True,0.2,0.1262583378258656
AggReturn,2019-01-03 00:00:00,False,0.0,-0.0172090615127901
AggReturn,2019-01-03 00:00:00,False,0.1,-0.0579929413092781
AggReturn,2019-01-03 00:00:00,False,0.2,-0.0579929413092781
AggReturn,2019-01-03 00:00:00,True,0.0,0.013266625987661
AggReturn,2019-01-03 00:00:00,True,0.1,0.013266625987661
AggReturn,2019-01-03 00:00:00,True,0.2,0.013266625987661
AggReturn,2019-01-04 00:00:00,False,0.0,0.0306060161380181
AggReturn,2019-01-04 00:00:00,False,0.1,0.0375808007633074
AggReturn,2019-01-04 00:00:00,False,0.2,0.0375808007633074
AggReturn,2019-01-04 00:00:00,True,0.0,0.0138343339149871
AggReturn,2019-01-04 00:00:00,True,0.1,0.0138343339149871
AggReturn,2019-01-04 00:00:00,True,0.2,0.0138343339149871
AggReturn,2019-01-07 00:00:00,False,0.0,-0.0222565889595688
AggReturn,2019-01-07 00:00:00,False,0.1,-0.0478061375614911
AggReturn,2019-01-07 00:00:00,False,0.2,-0.0478061375614911
AggReturn,2019-01-07 00:00:00,True,0.0,-0.0022938759881117
AggReturn,2019-01-07 00:00:00,True,0.1,-0.0022938759881117
AggReturn,2019-01-07 00:00:00,True,0.2,-0.0022938759881117
AggReturn,2019-01-08 00:00:00,False,0.0,-0.0083876481933542
AggReturn,2019-01-08 00:00:00,False,0.1,0.0032848332131624
AggReturn,2019-01-08 00:00:00,False,0.2,0.0032848332131624
AggReturn,2019-01-08 00:00:00,True,0.0,0.0019112822041288
AggReturn,2019-01-08 00:00:00,True,0.1,0.0019112822041288
AggReturn,2019-01-08 00:00:00,True,0.2,0.0019112822041288
AggReturn,2019-01-09 00:00:00,False,0.0,-0.0175190499694115
AggReturn,2019-01-09 00:00:00,False,0.1,-0.0336616755367601
AggReturn,2019-01-09 00:00:00,False,0.2,-0.0336616755367601
AggReturn,2019-01-09 00:00:00,True,0.0,-0.0021641168251436
AggReturn,2019-01-09 00:00:00,True,0.1,-0.0021641168251436
AggReturn,2019-01-09 00:00:00,True,0.2,-0.0021641168251436
AggReturn,2019-01-10 00:00:00,False,0.0,-0.0255939425946153
AggReturn,2019-01-10 00:00:00,False,0.1,-0.0411505851510896
AggReturn,2019-01-10 00:00:00,False,0.2,-0.0411505851510896
AggReturn,2019-01-10 00:00:00,True,0.0,-8.391429259202443e-05
AggReturn,2019-01-10 00:00:00,True,0.1,-8.391429259202443e-05
AggReturn,2019-01-10 00:00:00,True,0.2,-8.391429259202443e-05
AggReturn,2019-01-11 00:00:00,False,0.0,0.0216452754860902
AggReturn,2019-01-11 00:00:00,False,0.1,-0.0277424926607946
AggReturn,2019-01-11 00:00:00,False,0.2,-0.0277424926607946
AggReturn,2019-01-11 00:00:00,True,0.0,0.0062715030204612
AggReturn,2019-01-11 00:00:00,True,0.1,0.0062715030204612
AggReturn,2019-01-11 00:00:00,True,0.2,0.0062715030204612
AggReturn,2019-01-14 00:00:00,False,0.0,0.0493586613236668
AggReturn,2019-01-14 00:00:00,False,0.1,0.0808751531052766
AggReturn,2019-01-14 00:00:00,False,0.2,0.0808751531052766
AggReturn,2019-01-14 00:00:00,True,0.0,0.0004827324893516
AggReturn,2019-01-14 00:00:00,True,0.1,0.0004827324893516
AggReturn,2019-01-14 00:00:00,True,0.2,0.0004827324893516
AggReturn,2019-01-15 00:00:00,False,0.0,0.0678305187827864
AggReturn,2019-01-15 00:00:00,False,0.1,0.0459815847392637
AggReturn,2019-01-15 00:00:00,False,0.2,0.0459815847392637
AggReturn,2019-01-15 00:00:00,True,0.0,-0.0040117860239967
AggReturn,2019-01-15 00:00:00,True,0.1,-0.0040117860239967
AggReturn,2019-01-15 00:00:00,True,0.2,-0.0040117860239967
AggReturn,2019-01-16 00:00:00,False,0.0,0.0045980393982262
AggReturn,2019-01-16 00:00:00,False,0.1,0.0160008308038998
AggReturn,2019-01-16 00:00:00,False,0.2,0.0160008308038998
AggReturn,2019-01-16 00:00:00,True,0.0,0.00474784457198
AggReturn,2019-01-16 00:00:00,True,0.1,0.00474784457198
AggReturn,2019-01-16 00:00:00,True,0.2,0.00474784457198
AggReturn,2019-01-17 00:00:00,False,0.0,0.0475573144010286
AggReturn,2019-01-17 00:00:00,False,0.1,0.0326288737500315
AggReturn,2019-01-17 00:00:00,False,0.2,0.0326288737500315
AggReturn,2019-01-17 00:00:00,True,0.0,0.0047812609862266
AggReturn,2019-01-17 00:00:00,True,0.1,0.0047812609862266
AggReturn,2019-01-17 00:00:00,True,0.2,0.0047812609862266
