Field,StrategyOrDate,PRICE_LOWER_LIMIT,TOP_N_COUNT,Value
Cagr,umd-demo,1200,12,-0.25782877660615544
Cagr,umd-demo,1200,16,-0.30791661438105633
Cagr,umd-demo,1200,4,0.07851379250809254
Cagr,umd-demo,1200,8,-0.1933350625067526
Cagr,umd-demo,300,12,0.09484661836934483
Cagr,umd-demo,300,16,0.10140871619143255
Cagr,umd-demo,300,4,0.008459194028942019
Cagr,umd-demo,300,8,0.07250116169797094
Cagr,umd-demo,500,12,0.13654597949087965
Cagr,umd-demo,500,16,0.08022791941824758
Cagr,umd-demo,500,4,0.13256365734618347
Cagr,umd-demo,500,8,0.1336862330287203
Cagr,umd-demo,800,12,0.05011962363311806
Cagr,umd-demo,800,16,-0.11215985442894849
Cagr,umd-demo,800,4,0.1493193718861212
Cagr,umd-demo,800,8,0.1536363990977172
Sharpe,umd-demo,1200,12,-0.8845734485693247
Sharpe,umd-demo,1200,16,-1.0750986482719107
Sharpe,umd-demo,1200,4,0.42722597196962847
Sharpe,umd-demo,1200,8,-0.6265667772933945
Sharpe,umd-demo,300,12,0.4940638997710543
Sharpe,umd-demo,300,16,0.5389388241338067
Sharpe,umd-demo,300,4,0.17544603900082306
Sharpe,umd-demo,300,8,0.3915040488451102
Sharpe,umd-demo,500,12,0.7474149021408663
Sharpe,umd-demo,500,16,0.4943667612126597
Sharpe,umd-demo,500,4,0.600257388600846
Sharpe,umd-demo,500,8,0.701640116361655
Sharpe,umd-demo,800,12,0.3467260316237682
Sharpe,umd-demo,800,16,-0.42502594524251275
Sharpe,umd-demo,800,4,0.6680001481110049
Sharpe,umd-demo,800,8,0.8322198546670329
MaxDrawdown,umd-demo,1200,12,-0.7810325468739596
MaxDrawdown,umd-demo,1200,16,-0.8286871373336984
MaxDrawdown,umd-demo,1200,4,-0.3585648944856854
MaxDrawdown,umd-demo,1200,8,-0.6792947518249906
MaxDrawdown,umd-demo,300,12,-0.3539076196871388
MaxDrawdown,umd-demo,300,16,-0.3589179908996595
MaxDrawdown,umd-demo,300,4,-0.46245364614454887
MaxDrawdown,umd-demo,300,8,-0.3892267804016074
MaxDrawdown,umd-demo,500,12,-0.3357269067973436
MaxDrawdown,umd-demo,500,16,-0.36073725381059796
MaxDrawdown,umd-demo,500,4,-0.38779578682277926
MaxDrawdown,umd-demo,500,8,-0.37259117849186674
