Field,StrategyOrDate,PRICE_LOWER_LIMIT,TOP_N_COUNT,Value
Cagr,umd-demo,1200,12,-0.15271968665151114
Cagr,umd-demo,1200,16,-0.28147734650783596
Cagr,umd-demo,1200,2,0.6082595046824149
Cagr,umd-demo,1200,4,0.47346417778701855
Cagr,umd-demo,1200,8,0.025667750171639137
Cagr,umd-demo,500,12,0.2967700133558935
Cagr,umd-demo,500,16,0.24457210853790246
Cagr,umd-demo,500,2,0.9021905376168968
Cagr,umd-demo,500,4,0.44168976002688365
Cagr,umd-demo,500,8,0.25207279389146864
Cagr,umd-demo,800,12,0.2572878205948115
Cagr,umd-demo,800,16,-0.026329913759136958
Cagr,umd-demo,800,2,0.7433119679863929
Cagr,umd-demo,800,4,0.4915155868777912
Cagr,umd-demo,800,8,0.3449523950009692
Sharpe,umd-demo,1200,12,-0.4486078585410657
Sharpe,umd-demo,1200,16,-0.9716583521321467
Sharpe,umd-demo,1200,2,1.2665938369848986
Sharpe,umd-demo,1200,4,1.5267853243741376
Sharpe,umd-demo,1200,8,0.2250030326766397
Sharpe,umd-demo,500,12,1.6397992292852774
Sharpe,umd-demo,500,16,1.3546763419114132
Sharpe,umd-demo,500,2,1.5743740028849524
Sharpe,umd-demo,500,4,1.177881168375111
Sharpe,umd-demo,500,8,1.1261862937226208
Sharpe,umd-demo,800,12,1.2449862653715023
Sharpe,umd-demo,800,16,-0.017523833133626366
Sharpe,umd-demo,800,2,1.4284851366608868
Sharpe,umd-demo,800,4,1.4625642727302068
Sharpe,umd-demo,800,8,1.6051609790380175
MaxDrawdown,umd-demo,1200,12,-0.6289033266155285
MaxDrawdown,umd-demo,1200,16,-0.8035106339524306
MaxDrawdown,umd-demo,1200,2,-0.5071068936153237
MaxDrawdown,umd-demo,1200,4,-0.2404774212047387
MaxDrawdown,umd-demo,1200,8,-0.49939947278888175
MaxDrawdown,umd-demo,500,12,-0.12151479885530458
MaxDrawdown,umd-demo,500,16,-0.2710269747924563
MaxDrawdown,umd-demo,500,2,-0.5316766712229364
MaxDrawdown,umd-demo,500,4,-0.4697171259787404
MaxDrawdown,umd-demo,500,8,-0.24960997406541385
MaxDrawdown,umd-demo,800,12,-0.3366367262666343
MaxDrawdown,umd-demo,800,16,-0.4452233038575607
MaxDrawdown,umd-demo,800,2,-0.5268717095172684
MaxDrawdown,umd-demo,800,4,-0.33300887693369197
MaxDrawdown,umd-demo,800,8,-0.21847595619048288
AbsExposure,umd-demo,1200,12,1.0
AbsExposure,umd-demo,1200,16,1.0
AbsExposure,umd-demo,1200,2,1.0
AbsExposure,umd-demo,1200,4,1.0
AbsExposure,umd-demo,1200,8,1.0
AbsExposure,umd-demo,500,12,0.9999999999999999
AbsExposure,umd-demo,500,16,1.0
AbsExposure,umd-demo,500,2,1.0
AbsExposure,umd-demo,500,4,1.0
AbsExposure,umd-demo,500,8,1.0
AbsExposure,umd-demo,800,12,1.0
AbsExposure,umd-demo,800,16,1.0
AbsExposure,umd-demo,800,2,1.0
AbsExposure,umd-demo,800,4,1.0
AbsExposure,umd-demo,800,8,1.0
NormalizedCagr,umd-demo,1200,12,-0.15271968665151114
NormalizedCagr,umd-demo,1200,16,-0.28147734650783596
NormalizedCagr,umd-demo,1200,2,0.6082595046824149
NormalizedCagr,umd-demo,1200,4,0.47346417778701855
NormalizedCagr,umd-demo,1200,8,0.025667750171639137
NormalizedCagr,umd-demo,500,12,0.29677001335589354
NormalizedCagr,umd-demo,500,16,0.24457210853790246
NormalizedCagr,umd-demo,500,2,0.9021905376168968
NormalizedCagr,umd-demo,500,4,0.44168976002688365
NormalizedCagr,umd-demo,500,8,0.25207279389146864
NormalizedCagr,umd-demo,800,12,0.2572878205948115
NormalizedCagr,umd-demo,800,16,-0.026329913759136958
NormalizedCagr,umd-demo,800,2,0.7433119679863929
NormalizedCagr,umd-demo,800,4,0.4915155868777912
NormalizedCagr,umd-demo,800,8,0.3449523950009692
TotalHoldings,umd-demo,1200,12,9.740157480314961
TotalHoldings,umd-demo,1200,16,9.740157480314961
TotalHoldings,umd-demo,1200,2,3.9596456692913384
TotalHoldings,umd-demo,1200,4,7.606299212598425
TotalHoldings,umd-demo,1200,8,9.720472440944881
TotalHoldings,umd-demo,500,12,23.070866141732285
TotalHoldings,umd-demo,500,16,26.021653543307085
TotalHoldings,umd-demo,500,2,3.895669291338583
TotalHoldings,umd-demo,500,4,7.875984251968504
TotalHoldings,umd-demo,500,8,15.834645669291339
TotalHoldings,umd-demo,800,12,16.15748031496063
TotalHoldings,umd-demo,800,16,16.32185039370079
TotalHoldings,umd-demo,800,2,3.895669291338583
TotalHoldings,umd-demo,800,4,7.855314960629921
TotalHoldings,umd-demo,800,8,15.0748031496063
AggReturn,2019-01-02 00:00:00,1200,12,0.0032925228878618
AggReturn,2019-01-02 00:00:00,1200,16,-0.0067303223782722
AggReturn,2019-01-02 00:00:00,1200,2,-0.020674772256829
AggReturn,2019-01-02 00:00:00,1200,4,0.0306380094316526
AggReturn,2019-01-02 00:00:00,1200,8,0.0150834902566764
AggReturn,2019-01-02 00:00:00,500,12,0.0238469861999513
AggReturn,2019-01-02 00:00:00,500,16,0.0249490651553523
AggReturn,2019-01-02 00:00:00,500,2,-0.0206774029530998
AggReturn,2019-01-02 00:00:00,500,4,0.044480880157234
AggReturn,2019-01-02 00:00:00,500,8,0.0223012130936192
AggReturn,2019-01-02 00:00:00,800,12,0.0309509416650354
AggReturn,2019-01-02 00:00:00,800,16,0.0179015905504243
AggReturn,2019-01-02 00:00:00,800,2,-0.020676236153753
AggReturn,2019-01-02 00:00:00,800,4,0.0654213106842985
AggReturn,2019-01-02 00:00:00,800,8,0.0397378740935187
AggReturn,2019-01-03 00:00:00,1200,12,0.0052010501471237
AggReturn,2019-01-03 00:00:00,1200,16,0.0406260394711794
AggReturn,2019-01-03 00:00:00,1200,2,-0.0340986587634231
AggReturn,2019-01-03 00:00:00,1200,4,-0.0575000822684264
AggReturn,2019-01-03 00:00:00,1200,8,-0.0328560517904895
AggReturn,2019-01-03 00:00:00,500,12,-0.0515357717200477
AggReturn,2019-01-03 00:00:00,500,16,-0.0493919810150038
AggReturn,2019-01-03 00:00:00,500,2,-0.0341452210262322
AggReturn,2019-01-03 00:00:00,500,4,-0.0579929413092781
AggReturn,2019-01-03 00:00:00,500,8,-0.0552996380129843
AggReturn,2019-01-03 00:00:00,800,12,-0.0436429195873413
AggReturn,2019-01-03 00:00:00,800,16,-0.0244249035608146
AggReturn,2019-01-03 00:00:00,800,2,-0.0324018207917288
AggReturn,2019-01-03 00:00:00,800,4,-0.0357884080309959
AggReturn,2019-01-03 00:00:00,800,8,-0.0508101743143023
AggReturn,2019-01-04 00:00:00,1200,12,0.0019675982942596
AggReturn,2019-01-04 00:00:00,1200,16,-0.0205731935983369
AggReturn,2019-01-04 00:00:00,1200,2,0.0130727596461943
AggReturn,2019-01-04 00:00:00,1200,4,0.0374875763383385
AggReturn,2019-01-04 00:00:00,1200,8,0.0220478555426584
AggReturn,2019-01-04 00:00:00,500,12,0.0204395843905189
AggReturn,2019-01-04 00:00:00,500,16,0.0098753189523936
AggReturn,2019-01-04 00:00:00,500,2,0.0355568368017449
