Field,StrategyOrDate,REBALANCE_INTERVAL,ESCAPE_WEEKLY_CHANGE_LIMIT,Value
Cagr,umd-demo,M,0.1,0.2021452389682854
Cagr,umd-demo,M,0.2,0.17089917989577752
Cagr,umd-demo,W,0.1,0.17621147001670723
Cagr,umd-demo,W,0.2,0.2140206527724844
Sharpe,umd-demo,M,0.1,0.6889528535174027
Sharpe,umd-demo,M,0.2,0.59128202273821
Sharpe,umd-demo,W,0.1,0.6366052891975119
Sharpe,umd-demo,W,0.2,0.7111628259759041
MaxDrawdown,umd-demo,M,0.1,-0.4700860421700329
MaxDrawdown,umd-demo,M,0.2,-0.509985086772029
MaxDrawdown,umd-demo,W,0.1,-0.40480804328276443
MaxDrawdown,umd-demo,W,0.2,-0.457309958370932
AbsExposure,umd-demo,M,0.1,0.9173228346456693
AbsExposure,umd-demo,M,0.2,1.0
AbsExposure,umd-demo,W,0.1,0.9655511811023622
AbsExposure,umd-demo,W,0.2,1.0
NormalizedCagr,umd-demo,M,0.1,0.2203643377594184
NormalizedCagr,umd-demo,M,0.2,0.17089917989577752
NormalizedCagr,umd-demo,W,0.1,0.1824983216482921
NormalizedCagr,umd-demo,W,0.2,0.2140206527724844
TotalHoldings,umd-demo,M,0.1,1.5836614173228347
TotalHoldings,umd-demo,M,0.2,1.7096456692913387
TotalHoldings,umd-demo,W,0.1,1.624015748031496
TotalHoldings,umd-demo,W,0.2,1.6909448818897639
AggReturn,2019-01-02 00:00:00,M,0.1,0.2988411932905044
AggReturn,2019-01-02 00:00:00,M,0.2,0.2988411932905044
AggReturn,2019-01-02 00:00:00,W,0.1,-0.0463237201632501
AggReturn,2019-01-02 00:00:00,W,0.2,-0.0463237201632501
AggReturn,2019-01-03 00:00:00,M,0.1,0.0098699944612282
AggReturn,2019-01-03 00:00:00,M,0.2,0.0098699944612282
AggReturn,2019-01-03 00:00:00,W,0.1,0.0158409906837266
AggReturn,2019-01-03 00:00:00,W,0.2,0.0158409906837266
AggReturn,2019-01-04 00:00:00,M,0.1,0.0069642930194097
AggReturn,2019-01-04 00:00:00,M,0.2,0.0069642930194097
AggReturn,2019-01-04 00:00:00,W,0.1,0.0198020105188998
AggReturn,2019-01-04 00:00:00,W,0.2,0.0198020105188998
AggReturn,2019-01-07 00:00:00,M,0.1,0.0032723862985084
AggReturn,2019-01-07 00:00:00,M,0.2,0.0032723862985084
AggReturn,2019-01-07 00:00:00,W,0.1,-0.0008409593635643
AggReturn,2019-01-07 00:00:00,W,0.2,-0.0008409593635643
AggReturn,2019-01-08 00:00:00,M,0.1,0.0158940304511546
AggReturn,2019-01-08 00:00:00,M,0.2,0.0158940304511546
AggReturn,2019-01-08 00:00:00,W,0.1,0.004091830319693
AggReturn,2019-01-08 00:00:00,W,0.2,0.004091830319693
AggReturn,2019-01-09 00:00:00,M,0.1,0.0024668989605742
AggReturn,2019-01-09 00:00:00,M,0.2,0.0024668989605742
AggReturn,2019-01-09 00:00:00,W,0.1,0.0024668989605742
AggReturn,2019-01-09 00:00:00,W,0.2,0.0024668989605742
AggReturn,2019-01-10 00:00:00,M,0.1,-0.0006264730776979
AggReturn,2019-01-10 00:00:00,M,0.2,-0.0006264730776979
AggReturn,2019-01-10 00:00:00,W,0.1,-0.0006264730776979
AggReturn,2019-01-10 00:00:00,W,0.2,-0.0006264730776979
AggReturn,2019-01-11 00:00:00,M,0.1,0.0081780531592975
AggReturn,2019-01-11 00:00:00,M,0.2,0.0081780531592975
AggReturn,2019-01-11 00:00:00,W,0.1,0.0081780531592975
AggReturn,2019-01-11 00:00:00,W,0.2,0.0081780531592975
AggReturn,2019-01-14 00:00:00,M,0.1,-0.0019195886884993
AggReturn,2019-01-14 00:00:00,M,0.2,-0.0019195886884993
AggReturn,2019-01-14 00:00:00,W,0.1,-0.0019195886884993
AggReturn,2019-01-14 00:00:00,W,0.2,-0.0019195886884993
AggReturn,2019-01-15 00:00:00,M,0.1,-0.0046081859201759
AggReturn,2019-01-15 00:00:00,M,0.2,-0.0046081859201759
AggReturn,2019-01-15 00:00:00,W,0.1,-0.0046081859201759
AggReturn,2019-01-15 00:00:00,W,0.2,-0.0046081859201759
AggReturn,2019-01-16 00:00:00,M,0.1,0.0010764407850618
AggReturn,2019-01-16 00:00:00,M,0.2,0.0010764407850618
AggReturn,2019-01-16 00:00:00,W,0.1,0.0010764407850618
AggReturn,2019-01-16 00:00:00,W,0.2,0.0010764407850618
AggReturn,2019-01-17 00:00:00,M,0.1,0.0038796662034952
AggReturn,2019-01-17 00:00:00,M,0.2,0.0038796662034952
AggReturn,2019-01-17 00:00:00,W,0.1,0.0038796662034952
AggReturn,2019-01-17 00:00:00,W,0.2,0.0038796662034952
AggReturn,2019-01-18 00:00:00,M,0.1,0.0145925796636847
AggReturn,2019-01-18 00:00:00,M,0.2,0.0145925796636847
AggReturn,2019-01-18 00:00:00,W,0.1,0.0145925796636847
AggReturn,2019-01-18 00:00:00,W,0.2,0.0145925796636847
AggReturn,2019-01-22 00:00:00,M,0.1,0.0119108569488703
AggReturn,2019-01-22 00:00:00,M,0.2,0.0119108569488703
AggReturn,2019-01-22 00:00:00,W,0.1,0.0119108569488703
AggReturn,2019-01-22 00:00:00,W,0.2,0.0119108569488703
AggReturn,2019-01-23 00:00:00,M,0.1,0.0037316579119249
AggReturn,2019-01-23 00:00:00,M,0.2,0.0037316579119249
AggReturn,2019-01-23 00:00:00,W,0.1,0.0037252726377477
AggReturn,2019-01-23 00:00:00,W,0.2,0.0037243834816521
AggReturn,2019-01-24 00:00:00,M,0.1,-7.316574376320384e-05
AggReturn,2019-01-24 00:00:00,M,0.2,-7.316574376320384e-05
AggReturn,2019-01-24 00:00:00,W,0.1,0.0065934213801781
AggReturn,2019-01-24 00:00:00,W,0.2,-0.0020941248894257
AggReturn,2019-01-25 00:00:00,M,0.1,0.0097458106132868
AggReturn,2019-01-25 00:00:00,M,0.2,0.0097458106132868
AggReturn,2019-01-25 00:00:00,W,0.1,0.0022564884067561
AggReturn,2019-01-25 00:00:00,W,0.2,0.0052154376638685
AggReturn,2019-01-28 00:00:00,M,0.1,-0.0039849218873905
AggReturn,2019-01-28 00:00:00,M,0.2,-0.0039849218873905
AggReturn,2019-01-28 00:00:00,W,0.1,-0.0051670350101967
AggReturn,2019-01-28 00:00:00,W,0.2,0.0278218879003069
AggReturn,2019-01-29 00:00:00,M,0.1,0.0014545244613169
AggReturn,2019-01-29 00:00:00,M,0.2,0.0014545244613169
AggReturn,2019-01-29 00:00:00,W,0.1,-0.0062040917574849
AggReturn,2019-01-29 00:00:00,W,0.2,-0.0011875297510517
AggReturn,2019-01-30 00:00:00,M,0.1,0.0019480734599672
AggReturn,2019-01-30 00:00:00,M,0.2,0.0019480734599672
AggReturn,2019-01-30 00:00:00,W,0.1,0.002422971272101
AggReturn,2019-01-30 00:00:00,W,0.2,0.002422971272101
AggReturn,2019-01-31 00:00:00,M,0.1,-0.0152049676276865
AggReturn,2019-01-31 00:00:00,M,0.2,-0.0152049676276865
AggReturn,2019-01-31 00:00:00,W,0.1,-0.0104740214046757
AggReturn,2019-01-31 00:00:00,W,0.2,-0.0104740214046757
AggReturn,2019-02-01 00:00:00,M,0.1,0.0010316825957435
AggReturn,2019-02-01 00:00:00,M,0.2,0.0010316825957435
AggReturn,2019-02-01 00:00:00,W,0.1,-0.0152329124886115
AggReturn,2019-02-01 00:00:00,W,0.2,-0.0152329124886115
AggReturn,2019-02-04 00:00:00,M,0.1,0.0119740362617399
AggReturn,2019-02-04 00:00:00,M,0.2,0.0119740362617399
AggReturn,2019-02-04 00:00:00,W,0.1,0.0255842327848944
AggReturn,2019-02-04 00:00:00,W,0.2,0.0255842327848944
AggReturn,2019-02-05 00:00:00,M,0.1,0.0235060374767486
AggReturn,2019-02-05 00:00:00,M,0.2,0.0235060374767486
AggReturn,2019-02-05 00:00:00,W,0.1,0.0189576206399998
AggReturn,2019-02-05 00:00:00,W,0.2,0.0189576206399998
AggReturn,2019-02-06 00:00:00,M,0.1,-0.0024256436016282
AggReturn,2019-02-06 00:00:00,M,0.2,-0.0024256436016282
AggReturn,2019-02-06 00:00:00,W,0.1,-0.0024256436016282
AggReturn,2019-02-06 00:00:00,W,0.2,-0.0024256436016282
AggReturn,2019-02-07 00:00:00,M,0.1,0.0079466577633278
AggReturn,2019-02-07 00:00:00,M,0.2,0.0079466577633278
AggReturn,2019-02-07 00:00:00,W,0.1,0.0079466577633278
AggReturn,2019-02-07 00:00:00,W,0.2,0.0079466577633278
AggReturn,2019-02-08 00:00:00,M,0.1,0.0091556454821304
AggReturn,2019-02-08 00:00:00,M,0.2,0.0091556454821304
AggReturn,2019-02-08 00:00:00,W,0.1,0.0091556454821304
AggReturn,2019-02-08 00:00:00,W,0.2,0.0091556454821304
AggReturn,2019-02-11 00:00:00,M,0.1,-0.0026179957650558
AggReturn,2019-02-11 00:00:00,M,0.2,-0.0026179957650558
AggReturn,2019-02-11 00:00:00,W,0.1,-0.0026179957650558
AggReturn,2019-02-11 00:00:00,W,0.2,-0.0026179957650558
AggReturn,2019-02-12 00:00:00,M,0.1,-0.0055450575606595
AggReturn,2019-02-12 00:00:00,M,0.2,-0.0055450575606595
AggReturn,2019-02-12 00:00:00,W,0.1,-0.0055497423115988
AggReturn,2019-02-12 00:00:00,W,0.2,-0.0055497423115988
AggReturn,2019-02-13 00:00:00,M,0.1,0.0076608617796581
AggReturn,2019-02-13 00:00:00,M,0.2,0.0076608617796581
AggReturn,2019-02-13 00:00:00,W,0.1,0.0051072411864387
AggReturn,2019-02-13 00:00:00,W,0.2,0.0051072411864387
AggReturn,2019-02-14 00:00:00,M,0.1,-0.0094312985699083
AggReturn,2019-02-14 00:00:00,M,0.2,-0.0094312985699083
AggReturn,2019-02-14 00:00:00,W,0.1,-0.0020787781711847
AggReturn,2019-02-14 00:00:00,W,0.2,-0.0020787781711847
AggReturn,2019-02-15 00:00:00,M,0.1,0.013106662243734
AggReturn,2019-02-15 00:00:00,M,0.2,0.013106662243734
AggReturn,2019-02-15 00:00:00,W,0.1,0.0099846576221734
AggReturn,2019-02-15 00:00:00,W,0.2,0.0099846576221734
AggReturn,2019-02-19 00:00:00,M,0.1,0.0100036049880348
AggReturn,2019-02-19 00:00:00,M,0.2,0.0100036049880348
AggReturn,2019-02-19 00:00:00,W,0.1,0.0294433971141764
AggReturn,2019-02-19 00:00:00,W,0.2,0.0294433971141764
AggReturn,2019-02-20 00:00:00,M,0.1,0.0031284977684911
AggReturn,2019-02-20 00:00:00,M,0.2,0.0031284977684911
AggReturn,2019-02-20 00:00:00,W,0.1,0.0059573065702885
AggReturn,2019-02-20 00:00:00,W,0.2,0.0059573065702885
AggReturn,2019-02-21 00:00:00,M,0.1,0.0015131919417303
AggReturn,2019-02-21 00:00:00,M,0.2,0.0015131919417303
AggReturn,2019-02-21 00:00:00,W,0.1,0.0015131919417303
AggReturn,2019-02-21 00:00:00,W,0.2,0.0015131919417303
AggReturn,2019-02-22 00:00:00,M,0.1,0.0122058149270659
AggReturn,2019-02-22 00:00:00,M,0.2,0.0122058149270659
AggReturn,2019-02-22 00:00:00,W,0.1,0.0122058149270659
AggReturn,2019-02-22 00:00:00,W,0.2,0.0122058149270659
AggReturn,2019-02-25 00:00:00,M,0.1,0.003849125914312
AggReturn,2019-02-25 00:00:00,M,0.2,0.003849125914312
AggReturn,2019-02-25 00:00:00,W,0.1,0.003849125914312
AggReturn,2019-02-25 00:00:00,W,0.2,0.003849125914312
AggReturn,2019-02-26 00:00:00,M,0.1,0.0037099861771637
AggReturn,2019-02-26 00:00:00,M,0.2,0.0037099861771637
AggReturn,2019-02-26 00:00:00,W,0.1,0.0037099861771637
AggReturn,2019-02-26 00:00:00,W,0.2,0.0037099861771637
AggReturn,2019-02-27 00:00:00,M,0.1,-0.0077098814341928
AggReturn,2019-02-27 00:00:00,M,0.2,-0.0077098814341928
AggReturn,2019-02-27 00:00:00,W,0.1,-0.0077098814341928
AggReturn,2019-02-27 00:00:00,W,0.2,-0.0077098814341928
AggReturn,2019-02-28 00:00:00,M,0.1,0.001664307522015
AggReturn,2019-02-28 00:00:00,M,0.2,0.001664307522015
AggReturn,2019-02-28 00:00:00,W,0.1,0.001664307522015
AggReturn,2019-02-28 00:00:00,W,0.2,0.001664307522015
AggReturn,2019-03-01 00:00:00,M,0.1,-0.0085950200525499
AggReturn,2019-03-01 00:00:00,M,0.2,-0.0085950200525499
AggReturn,2019-03-01 00:00:00,W,0.1,-0.0085950200525499
AggReturn,2019-03-01 00:00:00,W,0.2,-0.0085950200525499
AggReturn,2019-03-04 00:00:00,M,0.1,-0.0019164062812146
AggReturn,2019-03-04 00:00:00,M,0.2,-0.0019164062812146
AggReturn,2019-03-04 00:00:00,W,0.1,-0.0019164062812146
AggReturn,2019-03-04 00:00:00,W,0.2,-0.0019164062812146
AggReturn,2019-03-05 00:00:00,M,0.1,0.001899078198806
AggReturn,2019-03-05 00:00:00,M,0.2,0.001899078198806
AggReturn,2019-03-05 00:00:00,W,0.1,0.0018937060699817
AggReturn,2019-03-05 00:00:00,W,0.2,0.0018937060699817
AggReturn,2019-03-06 00:00:00,M,0.1,0.0072143320987271
AggReturn,2019-03-06 00:00:00,M,0.2,0.0072143320987271
AggReturn,2019-03-06 00:00:00,W,0.1,0.0138954739935266
AggReturn,2019-03-06 00:00:00,W,0.2,0.0138954739935266
AggReturn,2019-03-07 00:00:00,M,0.1,-0.015734011003023
AggReturn,2019-03-07 00:00:00,M,0.2,-0.015734011003023
AggReturn,2019-03-07 00:00:00,W,0.1,-0.0096245727705555
AggReturn,2019-03-07 00:00:00,W,0.2,-0.0096245727705555
AggReturn,2019-03-08 00:00:00,M,0.1,-0.0002593720314926
AggReturn,2019-03-08 00:00:00,M,0.2,-0.0002593720314926
AggReturn,2019-03-08 00:00:00,W,0.1,0.0027893480099795
AggReturn,2019-03-08 00:00:00,W,0.2,0.0027893480099795
AggReturn,2019-03-11 00:00:00,M,0.1,-0.0010265542198938
AggReturn,2019-03-11 00:00:00,M,0.2,-0.0010265542198938
AggReturn,2019-03-11 00:00:00,W,0.1,0.0066615473120401
AggReturn,2019-03-11 00:00:00,W,0.2,0.0066615473120401
AggReturn,2019-03-12 00:00:00,M,0.1,0.0035954595929758
AggReturn,2019-03-12 00:00:00,M,0.2,0.0035954595929758
AggReturn,2019-03-12 00:00:00,W,0.1,-0.0021730650443396
AggReturn,2019-03-12 00:00:00,W,0.2,-0.0021760828646974
AggReturn,2019-03-13 00:00:00,M,0.1,0.0019824384888826
AggReturn,2019-03-13 00:00:00,M,0.2,0.0019824384888826
AggReturn,2019-03-13 00:00:00,W,0.1,0.0045411193766541
AggReturn,2019-03-13 00:00:00,W,0.2,0.015653675544032
AggReturn,2019-03-14 00:00:00,M,0.1,-0.0045989548793486
AggReturn,2019-03-14 00:00:00,M,0.2,-0.0045989548793486
AggReturn,2019-03-14 00:00:00,W,0.1,0.0018539408944178
AggReturn,2019-03-14 00:00:00,W,0.2,0.0138880287227992
AggReturn,2019-03-15 00:00:00,M,0.1,0.0129926823153997
AggReturn,2019-03-15 00:00:00,M,0.2,0.0129926823153997
AggReturn,2019-03-15 00:00:00,W,0.1,0.0072706582014129
AggReturn,2019-03-15 00:00:00,W,0.2,-0.0124993549168264
AggReturn,2019-03-18 00:00:00,M,0.1,0.0055709452118043
AggReturn,2019-03-18 00:00:00,M,0.2,0.0055709452118043
AggReturn,2019-03-18 00:00:00,W,0.1,0.0078417884551722
AggReturn,2019-03-18 00:00:00,W,0.2,0.0156136156466727
AggReturn,2019-03-19 00:00:00,M,0.1,0.000267893096645
AggReturn,2019-03-19 00:00:00,M,0.2,0.000267893096645
AggReturn,2019-03-19 00:00:00,W,0.1,0.0082498219576584
AggReturn,2019-03-19 00:00:00,W,0.2,-0.0040917775868655
AggReturn,2019-03-20 00:00:00,M,0.1,0.0048132848973689
AggReturn,2019-03-20 00:00:00,M,0.2,0.0048132848973689
AggReturn,2019-03-20 00:00:00,W,0.1,0.0083754724111866
AggReturn,2019-03-20 00:00:00,W,0.2,0.0083754724111866
AggReturn,2019-03-21 00:00:00,M,0.1,9.102350189321706e-05
AggReturn,2019-03-21 00:00:00,M,0.2,9.102350189321706e-05
AggReturn,2019-03-21 00:00:00,W,0.1,-0.0087544049039828
AggReturn,2019-03-21 00:00:00,W,0.2,-0.0087544049039828
AggReturn,2019-03-22 00:00:00,M,0.1,0.0166539900569612
AggReturn,2019-03-22 00:00:00,M,0.2,0.0166539900569612
AggReturn,2019-03-22 00:00:00,W,0.1,0.0249953791972292
AggReturn,2019-03-22 00:00:00,W,0.2,0.0249953791972292
AggReturn,2019-03-25 00:00:00,M,0.1,0.0093270346553134
AggReturn,2019-03-25 00:00:00,M,0.2,0.0093270346553134
AggReturn,2019-03-25 00:00:00,W,0.1,-0.0267617898853968
AggReturn,2019-03-25 00:00:00,W,0.2,-0.0267617898853968
AggReturn,2019-03-26 00:00:00,M,0.1,0.0180381062865169
AggReturn,2019-03-26 00:00:00,M,0.2,0.0180381062865169
AggReturn,2019-03-26 00:00:00,W,0.1,0.0055735164033562
AggReturn,2019-03-26 00:00:00,W,0.2,0.0055735164033562
AggReturn,2019-03-27 00:00:00,M,0.1,0.0088250310523287
AggReturn,2019-03-27 00:00:00,M,0.2,0.0088250310523287
AggReturn,2019-03-27 00:00:00,W,0.1,0.0048788903805153
AggReturn,2019-03-27 00:00:00,W,0.2,0.0048788903805153
AggReturn,2019-03-28 00:00:00,M,0.1,0.0044602675764993
AggReturn,2019-03-28 00:00:00,M,0.2,0.0044602675764993
AggReturn,2019-03-28 00:00:00,W,0.1,0.0055270377961077
AggReturn,2019-03-28 00:00:00,W,0.2,0.0055270377961077
AggReturn,2019-03-29 00:00:00,M,0.1,0.0045891256081331
AggReturn,2019-03-29 00:00:00,M,0.2,0.0045891256081331
AggReturn,2019-03-29 00:00:00,W,0.1,0.0066313697023042
AggReturn,2019-03-29 00:00:00,W,0.2,0.0066313697023042
AggReturn,2019-04-01 00:00:00,M,0.1,-0.0012812256634201
AggReturn,2019-04-01 00:00:00,M,0.2,-0.0012812256634201
AggReturn,2019-04-01 00:00:00,W,0.1,0.0152523399699527
AggReturn,2019-04-01 00:00:00,W,0.2,0.0152523399699527
AggReturn,2019-04-02 00:00:00,M,0.1,0.0016036599509308
AggReturn,2019-04-02 00:00:00,M,0.2,0.0016036599509308
AggReturn,2019-04-02 00:00:00,W,0.1,0.0007432973823164
AggReturn,2019-04-02 00:00:00,W,0.2,0.0007432973823164
AggReturn,2019-04-03 00:00:00,M,0.1,0.008407018320405
AggReturn,2019-04-03 00:00:00,M,0.2,0.008407018320405
AggReturn,2019-04-03 00:00:00,W,0.1,0.008407018320405
AggReturn,2019-04-03 00:00:00,W,0.2,0.008407018320405
AggReturn,2019-04-04 00:00:00,M,0.1,-0.003088828771706
AggReturn,2019-04-04 00:00:00,M,0.2,-0.003088828771706
AggReturn,2019-04-04 00:00:00,W,0.1,-0.003088828771706
AggReturn,2019-04-04 00:00:00,W,0.2,-0.003088828771706
AggReturn,2019-04-05 00:00:00,M,0.1,0.0026769509831265
AggReturn,2019-04-05 00:00:00,M,0.2,0.0026769509831265
AggReturn,2019-04-05 00:00:00,W,0.1,0.0026769509831265
AggReturn,2019-04-05 00:00:00,W,0.2,0.0026769509831265
AggReturn,2019-04-08 00:00:00,M,0.1,0.0045459232560562
AggReturn,2019-04-08 00:00:00,M,0.2,0.0045459232560562
AggReturn,2019-04-08 00:00:00,W,0.1,0.0045459232560562
AggReturn,2019-04-08 00:00:00,W,0.2,0.0045459232560562
AggReturn,2019-04-09 00:00:00,M,0.1,0.007370394443927
AggReturn,2019-04-09 00:00:00,M,0.2,0.007370394443927
AggReturn,2019-04-09 00:00:00,W,0.1,0.007370394443927
AggReturn,2019-04-09 00:00:00,W,0.2,0.007370394443927
AggReturn,2019-04-10 00:00:00,M,0.1,0.0131853117345333
AggReturn,2019-04-10 00:00:00,M,0.2,0.0131853117345333
AggReturn,2019-04-10 00:00:00,W,0.1,0.0131853117345333
AggReturn,2019-04-10 00:00:00,W,0.2,0.0131853117345333
AggReturn,2019-04-11 00:00:00,M,0.1,-0.0005272769827429
AggReturn,2019-04-11 00:00:00,M,0.2,-0.0005272769827429
AggReturn,2019-04-11 00:00:00,W,0.1,-0.0005272769827429
AggReturn,2019-04-11 00:00:00,W,0.2,-0.0005272769827429
AggReturn,2019-04-12 00:00:00,M,0.1,0.0064526360019328
AggReturn,2019-04-12 00:00:00,M,0.2,0.0064526360019328
AggReturn,2019-04-12 00:00:00,W,0.1,0.0064526360019328
AggReturn,2019-04-12 00:00:00,W,0.2,0.0064526360019328
AggReturn,2019-04-15 00:00:00,M,0.1,-0.0133513673596851
AggReturn,2019-04-15 00:00:00,M,0.2,-0.0133513673596851
AggReturn,2019-04-15 00:00:00,W,0.1,-0.0133513673596851
AggReturn,2019-04-15 00:00:00,W,0.2,-0.0133513673596851
AggReturn,2019-04-16 00:00:00,M,0.1,0.0020343723954766
AggReturn,2019-04-16 00:00:00,M,0.2,0.0020343723954766
AggReturn,2019-04-16 00:00:00,W,0.1,0.0020309331547081
